,galaxy,velocity,distance
0,NGC0300,133,2.0
1,NGC0925,664,9.16
2,NGC1326A,1794,16.14
3,NGC1365,1594,17.95
4,NGC1425,1473,21.88
5,NGC2403,278,3.22
6,NGC2541,714,11.22
7,NGC2090,882,11.75
8,NGC3031,80,3.63
9,NGC3198,772,13.8
10,NGC3351,642,10.0
11,NGC3368,768,10.52
12,NGC3621,609,6.64
13,NGC4321,1433,15.21
14,NGC4414,619,17.7
15,NGC4496A,1424,14.86
16,NGC4548,1384,16.22
17,NGC4535,1444,15.78
18,NGC4536,1423,14.93
19,NGC4639,1403,21.98
20,NGC4725,1103,12.36
21,IC4182,318,4.49
22,NGC5253,232,3.15
23,NGC7331,999,14.72
